    HandType, Income Rate, Error, SD, Iteration
87s, 0.2716, 0.0008589, 3.243, 2
88, 0.4700, 0.001486, 3.513, 2
92o, -0.4728, -0.001495, 2.140, 2
92s, -0.09024, -0.0002854, 2.804, 2
93o, -0.4530, -0.001433, 2.161, 2
93s, -0.08090, -0.0002558, 2.807, 2
94o, -0.4252, -0.001345, 2.201, 2
94s, -0.04607, -0.0001457, 2.850, 2
95o, -0.3377, -0.001068, 2.364, 2
96o, -0.2329, -0.0007366, 2.544, 2
95s, 0.04409, 0.0001394, 2.961, 2
96s, 0.1608, 0.0005086, 3.113, 2
97o, -0.1059, -0.0003348, 2.743, 2
97s, 0.2446, 0.0007735, 3.210, 2
98o, 0.001887, 5.967e-06, 2.891, 2
98s, 0.3497, 0.001106, 3.324, 2
99, 0.5537, 0.001751, 3.594, 2
A2o, -0.1046, -0.0003307, 2.778, 2
A2s, 0.3440, 0.001088, 3.345, 2
A3o, -0.03611, -0.0001142, 2.856, 2
A3s, 0.3889, 0.001230, 3.380, 2
A4o, 0.006091, 1.926e-05, 2.894, 2
A4s, 0.4247, 0.001343, 3.402, 2
A5o, 0.01692, 5.350e-05, 2.901, 2
A5s, 0.4588, 0.001451, 3.431, 2
A6o, -0.03880, -0.0001227, 2.821, 2
A6s, 0.4145, 0.001311, 3.385, 2
A7o, -0.01862, -5.889e-05, 2.850, 2
A7s, 0.4295, 0.001358, 3.397, 2
A8o, 0.04314, 0.0001364, 2.935, 2
A8s, 0.4972, 0.001572, 3.468, 2
A9o, 0.1121, 0.0003544, 3.028, 2
A9s, 0.5377, 0.001700, 3.513, 2
AA, 2.087, 0.006599, 4.606, 2
AJo, 0.3916, 0.001238, 3.352, 2
AJs, 0.8043, 0.002543, 3.748, 2
AKo, 0.6311, 0.001996, 3.596, 2
AKs, 0.9968, 0.003152, 3.909, 2
AQo, 0.5130, 0.001622, 3.478, 2
AQs, 0.8669, 0.002741, 3.805, 2
ATo, 0.3144, 0.0009943, 3.260, 2
ATs, 0.7223, 0.002284, 3.675, 2
J2o, -0.3919, -0.001239, 2.292, 2
J3o, -0.3576, -0.001131, 2.340, 2
J2s, 0.03075, 9.722e-05, 2.968, 2
J4o, -0.3277, -0.001036, 2.378, 2
J3s, 0.03435, 0.0001086, 2.962, 2
J5o, -0.3086, -0.0009758, 2.400, 2
J4s, 0.08333, 0.0002635, 3.011, 2
J6o, -0.2739, -0.0008662, 2.459, 2
J5s, 0.09236, 0.0002921, 3.010, 2
J6s, 0.1082, 0.0003420, 3.030, 2
J7o, -0.1841, -0.0005823, 2.607, 2
J7s, 0.2079, 0.0006573, 3.157, 2
J8o, -0.05631, -0.0001781, 2.802, 2
J8s, 0.3304, 0.001045, 3.297, 2
J9o, 0.08741, 0.0002764, 2.994, 2
J9s, 0.4630, 0.001464, 3.438, 2
JJ, 0.9342, 0.002954, 3.921, 2
JTo, 0.3110, 0.0009836, 3.256, 2
JTs, 0.6532, 0.002065, 3.609, 2
K2o, -0.2491, -0.0007877, 2.554, 2
K2s, 0.1951, 0.0006169, 3.179, 2
K3o, -0.2175, -0.0006879, 2.591, 2
K3s, 0.2186, 0.0006914, 3.195, 2
K4o, -0.1787, -0.0005649, 2.630, 2
K4s, 0.2431, 0.0007686, 3.212, 2
K5o, -0.1668, -0.0005273, 2.639, 2
K5s, 0.2594, 0.0008204, 3.219, 2
K6o, -0.1540, -0.0004871, 2.653, 2
K6s, 0.2858, 0.0009039, 3.249, 2
K7o, -0.1013, -0.0003203, 2.733, 2
K7s, 0.3155, 0.0009978, 3.277, 2
K8o, -0.04638, -0.0001467, 2.817, 2
K8s, 0.3573, 0.001130, 3.323, 2
K9o, 0.07884, 0.0002493, 2.986, 2
K9s, 0.4778, 0.001511, 3.455, 2
KJo, 0.3599, 0.001138, 3.318, 2
KJs, 0.7247, 0.002292, 3.684, 2
KK, 1.627, 0.005145, 4.386, 2
KQo, 0.4540, 0.001436, 3.417, 2
KQs, 0.8058, 0.002548, 3.752, 2
KTo, 0.2753, 0.0008707, 3.217, 2
KTs, 0.6853, 0.002167, 3.643, 2
Q2o, -0.3308, -0.001046, 2.412, 2
Q2s, 0.1010, 0.0003194, 3.065, 2
Q3o, -0.2885, -0.0009122, 2.464, 2
Q3s, 0.09828, 0.0003108, 3.045, 2
Q4o, -0.2714, -0.0008582, 2.480, 2
Q4s, 0.1272, 0.0004021, 3.069, 2
Q5o, -0.2503, -0.0007915, 2.500, 2
Q5s, 0.1557, 0.0004924, 3.096, 2
Q6o, -0.2304, -0.0007285, 2.529, 2
Q6s, 0.1928, 0.0006098, 3.139, 2
Q7o, -0.1854, -0.0005863, 2.599, 2
Q7s, 0.2255, 0.0007130, 3.176, 2
Q8o, -0.07981, -0.0002524, 2.769, 2
Q8s, 0.3063, 0.0009686, 3.273, 2
Q9o, 0.06649, 0.0002103, 2.972, 2
Q9s, 0.4554, 0.001440, 3.430, 2
QJo, 0.3449, 0.001091, 3.297, 2
QJs, 0.7038, 0.002226, 3.663, 2
QQ, 1.231, 0.003893, 4.142, 2
QTo, 0.2891, 0.0009142, 3.233, 2
QTs, 0.6388, 0.002020, 3.600, 2
T2o, -0.4077, -0.001289, 2.251, 2
T2s, -0.02666, -8.431e-05, 2.885, 2
T3o, -0.3799, -0.001201, 2.285, 2
T3s, 0.003177, 1.005e-05, 2.912, 2
T4o, -0.3940, -0.001246, 2.246, 2
T4s, 0.02683, 8.484e-05, 2.930, 2
T5o, -0.3454, -0.001092, 2.323, 2
T5s, 0.04178, 0.0001321, 2.941, 2
T6o, -0.2474, -0.0007823, 2.500, 2
T6s, 0.1214, 0.0003840, 3.046, 2
T7o, -0.1412, -0.0004464, 2.674, 2
T7s, 0.2378, 0.0007519, 3.190, 2
T8o, 0.009731, 3.077e-05, 2.889, 2
T8s, 0.3724, 0.001178, 3.336, 2
T9o, 0.1510, 0.0004775, 3.074, 2
T9s, 0.4891, 0.001547, 3.454, 2
TT, 0.7177, 0.002270, 3.736, 2
HandType, Income Rate, Error, SD, Iteration
32o, -0.4487, -0.001419, 2.214, 3
22, 0.2170, 0.0006864, 3.260, 3
32s, -0.07759, -0.0002454, 2.841, 3
33, 0.1946, 0.0006153, 3.227, 3
42o, -0.3870, -0.001224, 2.320, 3
42s, -0.05959, -0.0001885, 2.859, 3
43o, -0.3101, -0.0009808, 2.449, 3
43s, 0.03899, 0.0001233, 2.985, 3
44, 0.2363, 0.0007474, 3.268, 3
52o, -0.3674, -0.001162, 2.341, 3
52s, -0.02354, -7.445e-05, 2.900, 3
53o, -0.2536, -0.0008019, 2.532, 3
53s, 0.09187, 0.0002905, 3.044, 3
54o, -0.1712, -0.0005412, 2.653, 3
54s, 0.1665, 0.0005265, 3.128, 3
55, 0.2487, 0.0007865, 3.276, 3
62o, -0.4655, -0.001472, 2.163, 3
62s, -0.08227, -0.0002602, 2.824, 3
63s, 0.01022, 3.231e-05, 2.941, 3
63o, -0.3518, -0.001113, 2.372, 3
64o, -0.2383, -0.0007535, 2.554, 3
64s, 0.1077, 0.0003405, 3.060, 3
65o, -0.1508, -0.0004768, 2.685, 3
65s, 0.2007, 0.0006347, 3.169, 3
72o, -0.5177, -0.001637, 2.046, 3
66, 0.3115, 0.0009852, 3.346, 3
73o, -0.4259, -0.001347, 2.224, 3
72s, -0.1336, -0.0004225, 2.740, 3
73s, -0.04973, -0.0001573, 2.856, 3
74o, -0.3172, -0.001003, 2.418, 3
74s, 0.06220, 0.0001967, 2.997, 3
75o, -0.1949, -0.0006163, 2.617, 3
76o, -0.1126, -0.0003562, 2.742, 3
75s, 0.1461, 0.0004621, 3.098, 3
76s, 0.2284, 0.0007223, 3.196, 3
77, 0.3381, 0.001069, 3.374, 3
82o, -0.5082, -0.001607, 2.056, 3
82s, -0.1286, -0.0004068, 2.745, 3
83o, -0.4838, -0.001530, 2.095, 3
83s, -0.1052, -0.0003327, 2.773, 3
84o, -0.3809, -0.001204, 2.294, 3
84s, -0.006240, -1.973e-05, 2.910, 3
85o, -0.2636, -0.0008336, 2.497, 3
85s, 0.09406, 0.0002974, 3.029, 3
86o, -0.1650, -0.0005219, 2.656, 3
86s, 0.2017, 0.0006379, 3.160, 3
87o, -0.06573, -0.0002078, 2.802, 3
